[2010-09-26 10:01:31] weechat 0.3.3 (compiled on Aug 12 2010 10:04:15)
[2010-09-26 10:01:31] Reading configuration file weechat.conf
[2010-09-26 10:01:31] Reading configuration file plugins.conf
[2010-09-26 10:01:31] Reading configuration file charset.conf
[2010-09-26 10:01:31] Reading configuration file alias.conf
[2010-09-26 10:01:32] Reading configuration file aspell.conf
[2010-09-26 10:01:32] Reading configuration file logger.conf
[2010-09-26 10:01:32] Reading configuration file xfer.conf
[2010-09-26 10:01:32] Reading configuration file irc.conf
[2010-09-26 10:01:46] irc: connecting to server gnome/6667...
[2010-09-26 10:02:16] irc: connecting to server gnome/6667...
[2010-09-26 10:03:16] irc: connecting to server gnome/6667...
[2010-09-26 10:05:16] irc: connecting to server gnome/6667...
[2010-09-26 10:07:17] irc: connecting to server irc.gnome.org/6667...
[2010-09-26 10:07:52] irc: connecting to server chat.freenode.net/6667...
[2010-09-26 10:09:16] irc: connecting to server gnome/6667...
[2010-09-26 10:17:16] irc: connecting to server gnome/6667...
[2010-09-26 10:33:16] irc: connecting to server gnome/6667...
[2010-09-26 11:03:16] irc: connecting to server gnome/6667...
[2010-09-26 11:33:16] irc: connecting to server gnome/6667...
[2010-09-26 12:03:16] irc: connecting to server gnome/6667...
[2010-09-26 12:33:16] irc: connecting to server gnome/6667...
[2010-09-26 13:03:16] irc: connecting to server gnome/6667...
[2010-09-26 13:33:16] irc: connecting to server gnome/6667...
[2010-09-26 14:03:16] irc: connecting to server gnome/6667...
[2010-09-26 14:33:16] irc: connecting to server gnome/6667...
[2010-09-26 15:03:16] irc: connecting to server gnome/6667...
[2010-09-26 15:33:16] irc: connecting to server gnome/6667...
[2010-09-26 16:03:16] irc: connecting to server gnome/6667...
[2010-09-26 16:33:16] irc: connecting to server gnome/6667...
[2010-09-26 17:03:16] irc: connecting to server gnome/6667...
[2010-09-26 17:33:16] irc: connecting to server gnome/6667...
[2010-09-26 18:03:16] irc: connecting to server gnome/6667...
[2010-09-26 18:33:16] irc: connecting to server gnome/6667...
[2010-09-26 19:03:16] irc: connecting to server gnome/6667...
[2010-09-26 19:33:16] irc: connecting to server gnome/6667...
[2010-09-26 20:03:16] irc: connecting to server gnome/6667...
[2010-09-26 20:33:16] irc: connecting to server gnome/6667...
[2010-09-26 21:03:16] irc: connecting to server gnome/6667...
[2010-09-26 21:33:16] irc: connecting to server gnome/6667...
[2010-09-26 22:03:16] irc: connecting to server gnome/6667...
[2010-09-26 22:33:16] irc: connecting to server gnome/6667...
[2010-09-26 23:03:16] irc: connecting to server gnome/6667...
[2010-09-26 23:33:16] irc: connecting to server gnome/6667...
[2010-09-27 00:03:16] irc: connecting to server gnome/6667...
[2010-09-27 00:33:16] irc: connecting to server gnome/6667...
[2010-09-27 01:03:16] irc: connecting to server gnome/6667...
[2010-09-27 01:33:16] irc: connecting to server gnome/6667...
[2010-09-27 02:03:16] irc: connecting to server gnome/6667...
[2010-09-27 02:33:16] irc: connecting to server gnome/6667...
[2010-09-27 03:03:16] irc: connecting to server gnome/6667...
[2010-09-27 03:33:16] irc: connecting to server gnome/6667...
[2010-09-27 04:03:16] irc: connecting to server gnome/6667...
[2010-09-27 04:31:34] irc: connecting to server irc.gnome.org/6667...
[2010-09-27 04:31:37] irc: connecting to server chat.freenode.net/6667...
[2010-09-27 04:33:16] irc: connecting to server gnome/6667...
[2010-09-27 05:03:16] irc: connecting to server gnome/6667...
[2010-09-27 05:33:16] irc: connecting to server gnome/6667...
[2010-09-27 06:03:16] irc: connecting to server gnome/6667...
[2010-09-27 06:33:16] irc: connecting to server gnome/6667...
[2010-09-27 07:03:16] irc: connecting to server gnome/6667...
[2010-09-27 07:33:16] irc: connecting to server gnome/6667...
[2010-09-27 08:03:16] irc: connecting to server gnome/6667...
[2010-09-27 08:33:16] irc: connecting to server gnome/6667...
[2010-09-27 09:03:16] irc: connecting to server gnome/6667...
[2010-09-27 09:33:16] irc: connecting to server gnome/6667...
